geo_id,county_name,tot_households21,tot_households_with_internet_access21,fips_cd,pct_internet_access21
0500000US01001,"Autauga County, Alabama",22308,19883,1001,89.12946028
0500000US01003,"Baldwin County, Alabama",90802,80935,1003,89.13349926
0500000US01005,"Barbour County, Alabama",9016,6151,1005,68.22315883
0500000US01007,"Bibb County, Alabama",7216,5755,1007,79.75332594
0500000US01009,"Blount County, Alabama",21626,17972,1009,83.10367151
0500000US01011,"Bullock County, Alabama",3450,2125,1011,61.5942029
0500000US01013,"Butler County, Alabama",7131,5606,1013,78.61450007
0500000US01015,"Calhoun County, Alabama",44693,37295,1015,83.44707225
0500000US01017,"Chambers County, Alabama",13143,10324,1017,78.55132009
0500000US01019,"Cherokee County, Alabama",9997,7814,1019,78.16344903
0500000US01021,"Chilton County, Alabama",16931,13779,1021,81.38326147
0500000US01023,"Choctaw County, Alabama",5228,3634,1023,69.510329
0500000US01025,"Clarke County, Alabama",8188,5815,1025,71.01856375
0500000US01027,"Clay County, Alabama",5485,4119,1027,75.09571559
0500000US01029,"Cleburne County, Alabama",5761,4261,1029,73.96285367
0500000US01031,"Coffee County, Alabama",20363,17350,1031,85.20355547
0500000US01033,"Colbert County, Alabama",23266,17727,1033,76.19272759
0500000US01035,"Conecuh County, Alabama",4453,2982,1035,66.96609028
0500000US01037,"Coosa County, Alabama",3999,3138,1037,78.4696174
0500000US01039,"Covington County, Alabama",14194,11110,1039,78.27250951
0500000US01041,"Crenshaw County, Alabama",4839,3165,1041,65.40607564
0500000US01043,"Cullman County, Alabama",33649,28492,1043,84.67413593
0500000US01045,"Dale County, Alabama",19400,16064,1045,82.80412371
0500000US01047,"Dallas County, Alabama",14753,11223,1047,76.07266319
0500000US01049,"DeKalb County, Alabama",25690,21304,1049,82.92720903
0500000US01051,"Elmore County, Alabama",32184,28421,1051,88.30785483
0500000US01053,"Escambia County, Alabama",13022,9300,1053,71.41760098
0500000US01055,"Etowah County, Alabama",38791,32412,1055,83.5554639
0500000US01057,"Fayette County, Alabama",6143,4511,1057,73.43317597
0500000US01059,"Franklin County, Alabama",11239,6989,1059,62.1852478
0500000US01061,"Geneva County, Alabama",10391,7749,1061,74.57415071
0500000US01063,"Greene County, Alabama",2872,1617,1063,56.30222841
0500000US01065,"Hale County, Alabama",5403,3815,1065,70.60892097
0500000US01067,"Henry County, Alabama",6686,5296,1067,79.21029016
0500000US01069,"Houston County, Alabama",41543,34421,1069,82.85631755
0500000US01071,"Jackson County, Alabama",20670,17247,1071,83.43976778
0500000US01073,"Jefferson County, Alabama",265794,231395,1073,87.05802238
0500000US01075,"Lamar County, Alabama",5168,3647,1075,70.56888545
0500000US01077,"Lauderdale County, Alabama",38237,30800,1077,80.55025237
0500000US01079,"Lawrence County, Alabama",12829,9002,1079,70.16914802
0500000US01081,"Lee County, Alabama",65166,56129,1081,86.13233895
0500000US01083,"Limestone County, Alabama",38572,33917,1083,87.93166027
0500000US01085,"Lowndes County, Alabama",4001,2461,1085,61.50962259
0500000US01087,"Macon County, Alabama",7131,5095,1087,71.44860468
0500000US01089,"Madison County, Alabama",159569,144006,1089,90.24685246
0500000US01091,"Marengo County, Alabama",7379,5708,1091,77.3546551
0500000US01093,"Marion County, Alabama",11018,8342,1093,75.7124705
0500000US01095,"Marshall County, Alabama",35930,31400,1095,87.39215141
0500000US01097,"Mobile County, Alabama",159605,133010,1097,83.33698819
0500000US01099,"Monroe County, Alabama",7298,4478,1099,61.35927651
0500000US01101,"Montgomery County, Alabama",89721,77990,1101,86.92502313
0500000US01103,"Morgan County, Alabama",48004,39170,1103,81.59736689
0500000US01105,"Perry County, Alabama",3075,2028,1105,65.95121951
0500000US01107,"Pickens County, Alabama",7083,5325,1107,75.18000847
0500000US01109,"Pike County, Alabama",11996,9132,1109,76.12537513
0500000US01111,"Randolph County, Alabama",8729,7004,1111,80.23828617
0500000US01113,"Russell County, Alabama",23462,17588,1113,74.9637712
0500000US01115,"St. Clair County, Alabama",33838,30329,1115,89.63000177
0500000US01117,"Shelby County, Alabama",83776,77788,1117,92.85236822
0500000US01119,"Sumter County, Alabama",4798,3354,1119,69.90412672
0500000US01121,"Talladega County, Alabama",32359,27184,1121,84.00754041
0500000US01123,"Tallapoosa County, Alabama",16438,13132,1123,79.88806424
0500000US01125,"Tuscaloosa County, Alabama",84743,73127,1125,86.29267314
0500000US01127,"Walker County, Alabama",24718,19877,1127,80.41508213
0500000US01129,"Washington County, Alabama",5506,3948,1129,71.70359608
0500000US01131,"Wilcox County, Alabama",3579,2612,1131,72.98127969
0500000US01133,"Winston County, Alabama",9103,7028,1133,77.20531693
0500000US02013,"Aleutians East Borough, Alaska",899,519,2013,57.73081201
0500000US02016,"Aleutians West Census Area, Alaska",969,753,2016,77.70897833
0500000US02020,"Anchorage Municipality, Alaska",107134,100374,2020,93.69014505
0500000US02050,"Bethel Census Area, Alaska",4565,3528,2050,77.28368018
0500000US02060,"Bristol Bay Borough, Alaska",284,221,2060,77.81690141
0500000US02063,"Chugach Census Area, Alaska",2755,2449,2063,88.89292196
0500000US02066,"Copper River Census Area, Alaska",1090,845,2066,77.52293578
0500000US02068,"Denali Borough, Alaska",525,435,2068,82.85714286
0500000US02070,"Dillingham Census Area, Alaska",1384,1047,2070,75.65028902
0500000US02090,"Fairbanks North Star Borough, Alaska",35824,32244,2090,90.00669942
0500000US02100,"Haines Borough, Alaska",786,658,2100,83.71501272
0500000US02105,"Hoonah-Angoon Census Area, Alaska",867,527,2105,60.78431373
0500000US02110,"Juneau City and Borough, Alaska",13017,11973,2110,91.97971883
0500000US02122,"Kenai Peninsula Borough, Alaska",23201,19912,2122,85.8238869
0500000US02130,"Ketchikan Gateway Borough, Alaska",5568,4987,2130,89.56537356
0500000US02150,"Kodiak Island Borough, Alaska",4415,4001,2150,90.62287656
0500000US02158,"Kusilvak Census Area, Alaska",1864,1426,2158,76.50214592
0500000US02164,"Lake and Peninsula Borough, Alaska",326,244,2164,74.84662577
0500000US02170,"Matanuska-Susitna Borough, Alaska",39290,35791,2170,91.09442606
0500000US02180,"Nome Census Area, Alaska",2786,2306,2180,82.77099785
